"","fish","agei","A1","A2","A3","A4","A6"
"135",36,2,207.380294909621,206.52335664696,207.783640267249,205.945875020026,207.786675803114
"136",36,3,203.163752186741,202.732817771595,203.224144349918,202.935342399141,203.041520363538
"137",36,4,201,201,201,201,201
"138",37,1,218.236712134212,221.45678906556,218.553360417571,214.178870097659,217.379830787211
"139",37,2,209.390503454193,210.354974128152,209.57526663177,207.899985958422,209.102685490821
"140",37,3,203.791637201016,204.289034007713,203.627279498676,203.299079477084,203.677799722241
"141",37,4,202,202,202,202,202
"142",38,1,199.780121058774,201.721004385686,201.140649684889,197.613037063453,198.086876440402
"143",38,2,192.612439042855,194.191202932348,192.85901915255,192.177147374177,192.523878915531
"144",38,3,189.3819344723,190.680687389913,190.67429453359,189.360368171552,189.034362286293
"145",38,4,187.817158820937,188.340343694956,188.489569914629,188.17435587571,187.517181143147
"146",38,5,186.454289705234,186.763155552703,186.660498140616,186.642423326914,186.556299752487
"147",38,6,186,186,186,186,186
"148",39,1,211.475322625022,212.69622435083,211.797610714504,209.88121763738,207.545373404011
"149",39,2,204.402153615068,203.211933311989,205.282244802894,202.24990802868,201.740092085641
"150",39,3,198.69975379309,198.885765469711,198.601233995226,198.407191842739,197.639113539637
"151",39,4,197,197,197,197,197
"152",40,1,198.586041500402,196.626083879776,198.851311837133,193.956740420826,193.64991983053
"153",40,2,192.291038008781,190.76014071986,191.770623901734,189.006974417364,187.935477281603
"154",40,3,186.795400039905,185.830776719931,186.335447951322,185.124805002885,183.83280057981
"155",40,4,184.74702588787,184.204086599954,184.689935966335,183.038138942602,182.416400289905
"156",40,5,182.149087938947,182.084460079984,182.296463988172,181.873488118258,181.586096671685
"157",40,6,181,181,181,181,181
"158",41,1,188.690290523695,189.78455061905,188.728168335719,187.42836561776,187.302088406596
"159",41,2,182.685202128108,183.097621552765,182.844009907144,182.683796610287,181.873562156955
"160",41,3,180,180,180,180,180
"161",42,1,228.037489554625,231.36632894226,230.780220222303,226.963786144774,221.053843217488
"162",42,2,217.332518224517,220.830610835248,218.975222811841,217.66823966351,214.308114444398
