"","sample_no","image_name","year","age","sex_histology","maturation_status_histology","maturity","anu_adj","radcap","length_mm","length_prior","Increment1","Increment2","Increment3","Increment4","Increment5","Increment6","Increment7","anu1","anu2","anu3","anu4","anu5","anu6","anu7","rad1","rad2","rad3","rad4","rad5","rad6","rad7"
"121",461,"17NPRB046103S32S6",2017,"3","Female","1","immature",0.408,3.37,193,2.962,1.859,1.103,0.408,NA,NA,NA,NA,1.859,1.103,0.408,0,0,0,0,1.859,2.962,3.37,3.37,3.37,3.37,3.37
"122",463,"17NPRB046302S32S8",2017,"2","Female","1","immature",0.634,1.816,151,1.182,1.182,0.634,NA,NA,NA,NA,NA,1.182,0.634,0,0,0,0,0,1.182,1.816,1.816,1.816,1.816,1.816,1.816
"123",468,"17NPRB046802S32S13",2017,"2","Female","1","immature",1.235,3.143,150,1.908,1.908,1.235,NA,NA,NA,NA,NA,1.908,1.235,0,0,0,0,0,1.908,3.143,3.143,3.143,3.143,3.143,3.143
"124",471,"17NPRB047102S33S1",2017,"2","Female","3","mature",1.085,2.37,166,1.285,1.285,1.085,NA,NA,NA,NA,NA,1.285,1.085,0,0,0,0,0,1.285,2.37,2.37,2.37,2.37,2.37,2.37
"125",474,"17NPRB047402S33S4",2017,"2","Female","2","mature",1.332,3.651,161,2.319,2.319,1.332,NA,NA,NA,NA,NA,2.319,1.332,0,0,0,0,0,2.319,3.651,3.651,3.651,3.651,3.651,3.651
"126",476,"17NPRB047602S33S6",2017,"2","Female","1","immature",1.052,3.583,166,2.531,2.531,1.052,NA,NA,NA,NA,NA,2.531,1.052,0,0,0,0,0,2.531,3.583,3.583,3.583,3.583,3.583,3.583
"127",483,"17NPRB048306S33S13",2017,"6","Female","4","mature",0.153,3.658,185,3.505,1.468,1.202,0.466,0.26,0.109,0.153,NA,1.468,1.202,0.466,0.26,0.109,0.153,0,1.468,2.67,3.136,3.396,3.505,3.658,3.658
"128",484,"17NPRB048402S33S14",2017,"2","Female","1","immature",1.398,3.853,157,2.455,2.455,1.398,NA,NA,NA,NA,NA,2.455,1.398,0,0,0,0,0,2.455,3.853,3.853,3.853,3.853,3.853,3.853
"129",489,"17NPRB048904S34S4",2017,"4","Female","5","mature",0.239,3.606,192,3.367,1.818,1.146,0.403,0.239,NA,NA,NA,1.818,1.146,0.403,0.239,0,0,0,1.818,2.964,3.367,3.606,3.606,3.606,3.606
"130",491,"17NPRB049102S34S6",2017,"2","Female","1","immature",0.743,2.602,148,1.859,1.859,0.743,NA,NA,NA,NA,NA,1.859,0.743,0,0,0,0,0,1.859,2.602,2.602,2.602,2.602,2.602,2.602
"131",492,"17NPRB049205S34S7",2017,"5","Female","4","mature",0.288,5.075,205,4.787,1.735,1.584,0.853,0.615,0.288,NA,NA,1.735,1.584,0.853,0.615,0.288,0,0,1.735,3.319,4.172,4.787,5.075,5.075,5.075
"132",493,"17NPRB049302S34S8",2017,"2","Female","1","immature",1.3,3.524,152,2.224,2.224,1.3,NA,NA,NA,NA,NA,2.224,1.3,0,0,0,0,0,2.224,3.524,3.524,3.524,3.524,3.524,3.524
"133",501,"17NPRB050102S35S1",2017,"2","Female","1","immature",0.883,2.626,152,1.743,1.743,0.883,NA,NA,NA,NA,NA,1.743,0.883,0,0,0,0,0,1.743,2.626,2.626,2.626,2.626,2.626,2.626
"134",507,"17NPRB050702S35S7",2017,"2","Female","3","mature",1.045,3.321,166,2.276,2.276,1.045,NA,NA,NA,NA,NA,2.276,1.045,0,0,0,0,0,2.276,3.321,3.321,3.321,3.321,3.321,3.321
"135",509,"17NPRB050902S35S9",2017,"2","Female","2","mature",1.103,3.084,160,1.981,1.981,1.103,NA,NA,NA,NA,NA,1.981,1.103,0,0,0,0,0,1.981,3.084,3.084,3.084,3.084,3.084,3.084
"136",519,"17NPRB051902S36S4",2017,"2","Female","2","mature",1.587,4.13,168,2.543,2.543,1.587,NA,NA,NA,NA,NA,2.543,1.587,0,0,0,0,0,2.543,4.13,4.13,4.13,4.13,4.13,4.13
"137",521,"17NPRB052103S36S6",2017,"3","Female","1","immature",0.33,3.203,171,2.873,1.876,0.997,0.33,NA,NA,NA,NA,1.876,0.997,0.33,0,0,0,0,1.876,2.873,3.203,3.203,3.203,3.203,3.203
"138",530,"17NPRB053003S36S15",2017,"3","Female","2","mature",0.547,4.034,182,3.487,1.777,1.71,0.547,NA,NA,NA,NA,1.777,1.71,0.547,0,0,0,0,1.777,3.487,4.034,4.034,4.034,4.034,4.034
"139",548,"17NPRB054802S39S1",2017,"2","Female","1","immature",1.398,3.683,158,2.285,2.285,1.398,NA,NA,NA,NA,NA,2.285,1.398,0,0,0,0,0,2.285,3.683,3.683,3.683,3.683,3.683,3.683
"140",552,"17NPRB055202S39S5",2017,"2","Female","1","immature",1.297,3.143,146,1.846,1.846,1.297,NA,NA,NA,NA,NA,1.846,1.297,0,0,0,0,0,1.846,3.143,3.143,3.143,3.143,3.143,3.143
"141",563,"17NPRB056302S40S1",2017,"2","Female","1","immature",1.05,3.267,159,2.217,2.217,1.05,NA,NA,NA,NA,NA,2.217,1.05,0,0,0,0,0,2.217,3.267,3.267,3.267,3.267,3.267,3.267
"142",564,"17NPRB056402S40S2",2017,"2","Female","1","immature",1.645,3.201,133,1.556,1.556,1.645,NA,NA,NA,NA,NA,1.556,1.645,0,0,0,0,0,1.556,3.201,3.201,3.201,3.201,3.201,3.201
"143",565,"17NPRB056502S40S3",2017,"2","Female","2","mature",1.006,2.43,133,1.424,1.424,1.006,NA,NA,NA,NA,NA,1.424,1.006,0,0,0,0,0,1.424,2.43,2.43,2.43,2.43,2.43,2.43
"144",566,"17NPRB056602S40S4",2017,"2","Female","1","immature",1.176,3.503,158,2.327,2.327,1.176,NA,NA,NA,NA,NA,2.327,1.176,0,0,0,0,0,2.327,3.503,3.503,3.503,3.503,3.503,3.503
"145",568,"17NPRB056802S40S6",2017,"2","Female","1","immature",1.599,3.187,152,1.588,1.588,1.599,NA,NA,NA,NA,NA,1.588,1.599,0,0,0,0,0,1.588,3.187,3.187,3.187,3.187,3.187,3.187
"146",569,"17NPRB056902S40S7",2017,"2","Female","1","immature",1.594,3.984,143,2.39,2.39,1.594,NA,NA,NA,NA,NA,2.39,1.594,0,0,0,0,0,2.39,3.984,3.984,3.984,3.984,3.984,3.984
"147",571,"17NPRB057102S40S9",2017,"2","Female","1","immature",1.159,3.133,149,1.974,1.974,1.159,NA,NA,NA,NA,NA,1.974,1.159,0,0,0,0,0,1.974,3.133,3.133,3.133,3.133,3.133,3.133
"148",572,"17NPRB057202S40S10",2017,"2","Female","1","immature",1.086,2.648,141,1.562,1.562,1.086,NA,NA,NA,NA,NA,1.562,1.086,0,0,0,0,0,1.562,2.648,2.648,2.648,2.648,2.648,2.648
"149",576,"17NPRB057602S40S14",2017,"2","Female","1","immature",0.97,2.663,133,1.693,1.693,0.97,NA,NA,NA,NA,NA,1.693,0.97,0,0,0,0,0,1.693,2.663,2.663,2.663,2.663,2.663,2.663
"150",583,"17NPRB058302S41S6",2017,"2","Female","1","immature",1.065,2.747,144,1.682,1.682,1.065,NA,NA,NA,NA,NA,1.682,1.065,0,0,0,0,0,1.682,2.747,2.747,2.747,2.747,2.747,2.747
"151",585,"17NPRB058502S41S8",2017,"2","Female","1","immature",1.287,2.715,124,1.428,1.428,1.287,NA,NA,NA,NA,NA,1.428,1.287,0,0,0,0,0,1.428,2.715,2.715,2.715,2.715,2.715,2.715
"152",587,"17NPRB058702S41S10",2017,"2","Female","1","immature",1.596,4.071,160,2.475,2.475,1.596,NA,NA,NA,NA,NA,2.475,1.596,0,0,0,0,0,2.475,4.071,4.071,4.071,4.071,4.071,4.071
"153",595,"17NPRB059502S42S3",2017,"2","Female","1","immature",1.238,3.616,150,2.378,2.378,1.238,NA,NA,NA,NA,NA,2.378,1.238,0,0,0,0,0,2.378,3.616,3.616,3.616,3.616,3.616,3.616
"154",600,"17NPRB060002S42S8",2017,"2","Female","1","immature",1.422,2.886,139,1.464,1.464,1.422,NA,NA,NA,NA,NA,1.464,1.422,0,0,0,0,0,1.464,2.886,2.886,2.886,2.886,2.886,2.886
"155",605,"17NPRB060502S42S13",2017,"2","Female","1","immature",1.525,3.034,136,1.509,1.509,1.525,NA,NA,NA,NA,NA,1.509,1.525,0,0,0,0,0,1.509,3.034,3.034,3.034,3.034,3.034,3.034
"156",610,"17NPRB061002S43S3",2017,"2","Female","1","immature",1.324,3.842,152,2.518,2.518,1.324,NA,NA,NA,NA,NA,2.518,1.324,0,0,0,0,0,2.518,3.842,3.842,3.842,3.842,3.842,3.842
